series_release,series_code,series_description,geoAreaCode,X,Y,ISO3CD,geoAreaName,sliceId,Units,Units_description,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,last_5_years_mean,latest_year,latest_value,latest_source,latest_nature,FID
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),392,139.2716103,36.6554539,JPN,Japan,1,PERCENT,Percentage,3.92,3.74,3.7,4.08,4.01,3.65,4.03,3.75,3.98,4.04,4.59,4.69,4.53,4.91,5.63,6.3,5.212,2015,6.3,"Source: World Energy Balances, IEA (2017)",E,235
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),398,66.65359159,48.01963494,KAZ,Kazakhstan,1,PERCENT,Percentage,2.51,2.41,2.77,2.28,1.89,2.09,2.13,1.83,1.15,1.31,1.38,1.38,1.33,1.17,1.31,1.56,1.35,2015,1.56,"Source: World Energy Balances, IEA (2017)",E,236
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),400,37.13024774,30.65365973,JOR,Jordan,1,PERCENT,Percentage,2.08,2.12,2.09,1.98,1.83,1.69,2.28,2.33,2.74,2.78,2.97,3.03,2.94,3.15,3.13,3.23,3.096,2015,3.23,"Source: World Energy Balances, IEA (2017)",E,237
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),404,37.86096816,0.534797278,KEN,Kenya,1,PERCENT,Percentage,79.04,80.24,80.54,83.18,82.27,81.23,79.77,80.26,80.48,78.15,76.27,77.08,78.5,77.14,75.52,72.66,76.18,2015,72.66,"Source: World Energy Balances, IEA (2017)",E,238
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),408,127.1803633,40.1462645,PRK,Democratic People's Republic of Korea,1,PERCENT,Percentage,8.72,8.62,9.03,9.27,9.37,9.23,8.96,10.9,10.2,12.31,13.47,18.08,17.69,23.81,21.03,23.12,20.746,2015,23.12,"Source: World Energy Balances, IEA (2017)",E,239
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),410,127.8610254,36.45201023,KOR,Republic of Korea,1,PERCENT,Percentage,0.7,0.69,0.7,0.85,0.77,0.87,0.95,1.02,1.06,1.21,1.31,1.35,1.61,1.92,2.84,2.71,2.086,2015,2.71,"Source: World Energy Balances, IEA (2017)",E,240
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),414,47.49305029,29.53949468,KWT,Kuwait,1,PERCENT,Percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,"Source: World Energy Balances, IEA (2017)",E,241
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),417,74.52324839,41.46204516,KGZ,Kyrgyzstan,1,PERCENT,Percentage,35.17,36.01,28.3,30.52,27.71,28.04,27.77,24.5,22.05,24.73,25.59,25.95,22.45,24.58,26.61,23.31,24.58,2015,23.31,"Source: World Energy Balances, IEA (2017)",E,242
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),418,101.9901968,20.27482773,LAO,Lao People's Democratic Republic,1,PERCENT,Percentage,85.47,84.85,83.9,82.08,77.65,77.24,73,72.22,69.06,66.82,71.51,66.27,63.35,60.68,60.47,59.32,62.018,2015,59.32,"Source: Energy Balances, UN Statistics Division (2017)",E,243
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),422,35.89391711,33.92152458,LBN,Lebanon,1,PERCENT,Percentage,4.91,4.42,5.74,7.46,6.52,6.92,7.5,8.56,5.67,4.28,5.2,5.18,4.94,5.72,3.23,3.65,4.544,2015,3.65,"Source: World Energy Balances, IEA (2017)",E,244
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),426,28.25362195,-29.58041814,LSO,Lesotho,1,PERCENT,Percentage,56.7,56.5,56.16,55.94,55.41,55.31,55.46,55.33,54.99,53.98,53.45,53.14,52.41,52.3,51.39,52.14,52.276,2015,52.14,"Source: Energy Balances, UN Statistics Division (2017)",E,245
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),428,26.42461876,56.64196636,LVA,Latvia,1,PERCENT,Percentage,35.82,35.35,34.38,34.34,36.11,36.3,34,33.08,33.7,38.39,33.06,35.53,40.37,39.6,40.24,38.1,38.768,2015,38.1,"Source: World Energy Balances, IEA (2017)",E,246
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),430,-9.311879038,6.448381009,LBR,Liberia,1,PERCENT,Percentage,90.83,90.72,91.4,90.72,90.18,88.23,87.63,89.85,91.49,91.51,89.21,87.37,85.18,86.99,83.94,83.85,85.466,2015,83.85,"Source: Energy Balances, UN Statistics Division (2017)",E,247
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),434,18.0295985,27.04042819,LBY,Libya,1,PERCENT,Percentage,2.04,2.02,1.97,1.95,1.87,1.81,1.88,2,1.88,1.72,1.57,2.23,1.91,1.72,1.75,1.97,1.916,2015,1.97,"Source: World Energy Balances, IEA (2017)",E,248
